,brand,name,image_url,rating_star,ratings,reviews,processor_brand,processor,generation,ram,ram_type,operating_system,rom,display,warranty,actual_price,discount_price,discount
95,ASUS,ASUS Vivobook 15 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ1765WS Thi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/g/c/-original-imahcd9d4ehhuwgz.jpeg?q=70,4.3,361,20,Intel,Intel Core i5 Processor (13th Gen),13,8,DDR4,Windows 11 Home Operating System,512,,1,68990,43990,36
96,Samsung,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/l/v/-original-imahcd9jggredwvf.jpeg?q=70,4.5,9456,820,Intel,Intel Core i5 Processor (13th Gen),13,8,LPDDR4X,Windows 11 Operating System,512,39.62,1,78189,48990,37
97,ASUS,ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/j/z/-original-imahcd9nqjz6d3dp.jpeg?q=70,4.2,650,53,Intel,Intel Core i3 Processor (13th Gen),13,16,DDR4,Windows 11 Home Operating System,512,,1,56990,35990,36
98,Acer,Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/u/v/-original-imahcd9cqb2hnpus.jpeg?q=70,4.3,2279,167,Intel,Intel Core i5 Processor (13th Gen),13,16,DDR4,Windows 11 Operating System,512,39.62,1,84999,54990,35
99,Lenovo,Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/w/d/-original-imahde5y9jxevzar.jpeg?q=70,4.8,5,0,AMD,AMD Ryzen 7 Octa Core Processor,,24,DDR5,Windows 11 Home Operating System,512,,1,93190,67990,27
100,Acer,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/u/a/-original-imahcd9hd8sfkypj.jpeg?q=70,4.2,3614,279,Intel,Intel Core i3 Processor (12th Gen),12,8,DDR4,Windows 11 Operating System,512,35.56,1,43000,24990,41
101,Samsung,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/y/6/-original-imahcd9h9ethbxaz.jpeg?q=70,4.5,4960,529,Intel,Intel Core i3 Processor (13th Gen),13,8,LPDDR4X,Windows 11 Operating System,512,39.62,1,57499,34990,39
102,Acer,Acer Aspire Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/y/m/-original-imahcqeynxxzdhcy.jpeg?q=70,4.2,155,14,Intel,Intel Core i3 Processor (13th Gen),13,8,DDR4,Windows 11 Home Operating System,512,39.62,1,46999,30490,35
103,HP,HP 250R G9 (2024) Intel Core i3 13th Gen Intel Core i3 - 1315U (13th Gen) - (8 GB/512 GB SSD/Windows 1...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/t/o/250r-g9-thin-and-light-laptop-hp-original-imah77g3dbdcvy6p.jpeg?q=70,4.3,53,1,Intel,Intel Core i3 Processor (13th Gen),13,8,DDR4,Windows 11 Home Operating System,512,,1,44990,33990,24
104,MOTOROLA,MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/w/g/-original-imahcyacfmnzg8uf.jpeg?q=70,4.4,151,29,Intel,Intel Core 7 (Series 2) Processor,14,16,DDR5,Windows 11 Operating System,512,,1,104890,62990,39
105,HP,HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) fd0129TU / fd0186TU Thin an...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/7/i/-original-imahdvrt3ar5vdgg.jpeg?q=70,4.0,277,16,Intel,Intel Core i3 Processor (13th Gen),13,8,DDR4,Windows 11 Home Operating System,512,39.62,1,50903,34990,31
106,Lenovo,Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/j/c/-original-imahehrb5fvx8uuq.jpeg?q=70,,,,Qualcomm,Qualcomm Snapdragon X Processor,,16,LPDDR5X,Windows 11 Home Operating System,512,,1,93490,57990,37
107,Lenovo,Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - (16 GB/1 TB SSD/Windows 11 Home) 14IRH8 ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/v/2/-original-imahcd9j4x8fbg8j.jpeg?q=70,4.4,376,42,Intel,Intel Core i5 Processor (13th Gen),13,16,LPDDR5X,Windows 11 Operating System,1,,1,114690,70990,38
108,DELL,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/f/1/-original-imahcd9mbpxz8c3z.jpeg?q=70,4.3,327,26,AMD,AMD Ryzen 5 Hexa Core Processor,,16,DDR4,Windows 11 Operating System,512,,1,56919,39990,29
109,Apple,Apple MacBook Air Apple M4 - (16 GB/256 GB SSD/macOS Sequoia) MW123HN/A,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/3/7/-original-imahayjpgztvrfyj.jpeg?q=70,4.6,955,89,Apple,Apple M4 Processor,,16,Unified Memory,Mac OS Operating System,256,,1,99900,91350,8
110,Acer,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/i/0/-original-imahcfdf4x4zchpg.jpeg?q=70,4.3,402,32,Intel,Intel Core i5 Processor (13th Gen),13,16,DDR4,Windows 11 Operating System,512,35.56,1,66999,40990,38
111,ASUS,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Metallic Design, Copilot+ PC Qualcomm Snapdra...",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/g/d/-original-imahefyfyqwuhhga.jpeg?q=70,4.7,10,0,Qualcomm,Qualcomm Snapdragon X Processor,,16,LPDDR5X,Windows 11 Home Operating System,512,,1,92990,67990,26
112,ASUS,ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/n/3/cx1500cka-ej0275-chromebook-asus-original-imah2mw8nykenzdx.jpeg?q=70,3.8,2720,241,Intel,Intel Celeron Dual Core Processor,,4,LPDDR4X,Chrome Operating System,4,39.62,1,,32990,
113,HP,HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/a/a/-original-imahcd9zcpenszva.jpeg?q=70,4.2,8389,598,AMD,AMD Ryzen 5 Hexa Core Processor,,8,DDR4,Windows 11 Operating System,512,,1,54552,35900,34
114,ASUS,ASUS ExpertBook B14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) B1402CBA-NK1494WS...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/i/u/-original-imahcd9mkqyphqsj.jpeg?q=70,4.3,444,44,Intel,Intel Core i3 Processor (12th Gen),12,8,DDR4,Windows 11 Operating System,512,35.56,1,50990,31750,37
115,Lenovo,Lenovo IdeaPad Slim 5 2.5K IPS Intel Core i5 13th Gen 13500H - (16 GB/1 TB SSD/Windows 11 Home) 16IRL8...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/4/k/-original-imahcd9gbqd2gfcc.jpeg?q=70,4.1,531,63,Intel,Intel Core i5 Processor (13th Gen),13,16,LPDDR5,Windows 11 Operating System,1,40.64,1,107690,68490,36
116,Acer,Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/f/x/-original-imahcd99qffuxkmz.jpeg?q=70,4.3,2000,159,Intel,Intel Core i3 Processor (13th Gen),13,8,DDR4,Windows 11 Operating System,512,35.56,1,49999,28990,42
117,HP,HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0025TU Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/t/u/-original-imahdxrfymmfsjnv.jpeg?q=70,4.2,16,1,Intel,Intel Core i7 Processor (13th Gen),13,16,DDR4,Windows 11 Home Operating System,512,39.62,1,77507,65990,14
118,Infinix,Infinix ZEROBOOK 13 Intel Intel Core i9 13th Gen 13900H - (32 GB/1 TB SSD/Windows 11 Home) ZL513 Thin ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/t/o/-original-imahcd99hwc3fzhd.jpeg?q=70,4.0,1305,178,Intel,Intel Core i9 Processor (13th Gen),13,32,LPDDR5X,Windows 11 Operating System,1,39.62,1,,149900,
119,Acer,Acer Aspire Intel Core i5 12th Gen 12450H - (12 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/a/o/-original-imah7tknwg7brmfv.jpeg?q=70,4.1,1013,98,Intel,Intel Core i5 Processor (12th Gen),12,12,LPDDR5,Windows 11 Home Operating System,512,39.62,1,59990,47990,20
